"County","VBM Ballots issued","VBM Ballots accepted","Drop Box","Drop Off Location","Vote Center Drop Off","Mail","FAX","Other","Regular Ballots","Provisional Ballots  
(Non-CVR)","Conditional (CVR)","Conditional (""Instant"" CVR )","In Person Ballots accepted","TOTAL BALLOTS CAST","VBM ballots returned","In person ballots returned","VBM and In Person Ballots Returned","VBM and In Person Ballots Accepted","% VBM returned","% VBM accepted","% total accepted","Total Registered","% voted"
"San Mateo",448382,179041,66716,6,3988,108931,783,0,9414,0,89,99,9592,190026,180424,9602,190026,188633,40.24,39.93,41.19,443350,42.55
"Santa Barbara",247587,93224,45908,3294,0,44308,603,0,0,0,295,0,0,94408,94113,295,94408,93224,38.01,37.65,37.61,244991,38.05
"Santa Clara",1058211,396031,173288,3,17883,207457,941,0,23342,0,0,0,23342,422914,399572,23342,422914,419373,37.76,37.42,38.78,1048723,39.99
"Santa Cruz",172652,68840,29359,4632,0,34823,516,0,2783,0,19,49,2843,72181,69330,2851,72181,71683,40.16,39.87,40.84,170535,42.03
"Shasta",116810,43146,14164,10400,0,18849,23,0,0,0,0,0,0,43436,43436,0,43436,43146,37.19,36.94,36.94,115677,37.3
"Sierra",2247,1278,0,83,0,1195,2,0,0,0,0,0,0,1280,1280,0,1280,1278,56.96,56.88,56.88,2228,57.36
"Siskiyou",28604,12069,2437,911,0,8775,20,0,0,0,0,0,0,12143,12143,0,12143,12069,42.45,42.19,42.19,27965,43.16
"Solano",273099,87004,2,24486,1,62680,182,1,13,0,0,0,13,87365,87352,13,87365,87017,31.99,31.86,31.86,269604,32.28
"Sonoma",312579,135910,47226,4386,2107,82731,523,0,3653,58,82,144,3936,140910,136973,3937,140910,139846,43.82,43.48,44.18,309263,45.22
"Stanislaus",296976,95135,28992,2661,1353,63137,76,0,4309,0,0,0,4309,100528,96219,4309,100528,99444,32.4,32.03,33.01,293212,33.92
"Sutter",54797,18695,5917,1401,0,11408,16,0,32,0,0,0,32,18774,18742,32,18774,18727,34.2,34.12,34.16,54210,34.55
"Tehama",37981,11806,4302,242,0,7418,10,1,0,0,0,0,0,11973,11973,0,11973,11806,31.52,31.08,31.08,37488,31.49
"Trinity",7656,3150,1020,303,0,1861,12,0,0,0,0,0,0,3196,3196,0,3196,3150,41.75,41.14,41.14,7424,42.43
"Tulare",220817,56176,20418,1,0,36193,33,0,649,0,28,93,742,57415,56645,770,57415,56918,25.65,25.44,25.69,219040,25.99
"Tuolumne",35927,18478,7246,2323,148,8856,21,0,327,0,0,0,327,18921,18594,327,18921,18805,51.75,51.43,51.87,35472,53.01
"Ventura",523657,195058,109956,1493,8673,76047,617,0,15138,7,20,970,16134,212921,196786,16135,212921,211192,37.58,37.25,39.12,516989,40.85
"Yolo",120379,46340,25847,0,5,21021,177,0,1850,0,0,0,1850,48900,47050,1850,48900,48190,39.08,38.5,39.43,118047,40.82
"Yuba",44511,12818,5208,492,0,7386,11,0,0,0,0,0,0,13097,13097,0,13097,12818,29.42,28.8,28.8,44078,29.08
